"","district","name","party","hpvi","rpvi","ave","pres","gov","abs","chamber","hpvi_color"
"82","08A","Bud Nornes","R","R+13",-12.9599555844749,0.370400444155251,0.330411457584902,0.4103894307256,12.9599555844749,"House","0"
"83","08B","Mary Franson","R","R+14",-14.4921322718499,0.355078677281501,0.29686198278256,0.413295371780441,14.4921322718499,"House","0"
"84","09A","John Poston","R","R+18",-17.6150421971341,0.323849578028659,0.249160369437448,0.39853878661987,17.6150421971341,"House","0"
"85","09B","Ron Kresha","R","R+18",-17.9501381207547,0.320498618792453,0.226863012262866,0.414134225322041,17.9501381207547,"House","0"
"86","10A","Josh Heintzeman","R","R+11",-10.936058324555,0.39063941675445,0.340510913183909,0.44076792032499,10.936058324555,"House","0"
"87","10B","Dale Lueck","R","R+9",-9.36792505035329,0.406320749496467,0.333162671631371,0.479478827361563,9.36792505035329,"House","0"
"88","11A","Mike Sundin","DFL","D+7",7.10559601445586,0.571055960144559,0.509741657696448,0.63237026259267,7.10559601445586,"House","1"
"89","11B","Jason Rarick","R","R+8",-8.42998244885802,0.41570017551142,0.339692664540446,0.491707686482393,8.42998244885802,"House","0"
"90","12A","Jeff Backer","R","R+7",-7.12213074862064,0.428778692513794,0.355888093689005,0.501669291338583,7.12213074862064,"House","0"
"91","12B","Paul Anderson","R","R+18",-17.9234384929693,0.320765615070307,0.251937594363362,0.389593635777252,17.9234384929693,"House","0"
"92","13A","Jeff Howe","R","R+13",-12.7649274971326,0.372350725028674,0.314823850883185,0.429877599174163,12.7649274971326,"House","0"
"93","13B","Tim O'Driscoll","R","R+13",-12.9454363585985,0.370545636414015,0.319613648497792,0.421477624330239,12.9454363585985,"House","0"
"94","14A","Tama Theis","R","R+4",-3.74032156306687,0.462596784369331,0.436901882427174,0.488291686311488,3.74032156306687,"House","0"
"95","14B","Jim Knoblach","R","D+1",0.841566617423295,0.508415666174233,0.481110206127436,0.53572112622103,0.841566617423295,"House","1"
"96","15A","Sondra Erickson","R","R+14",-14.0153467726155,0.359846532273845,0.285031932592712,0.434661131954977,14.0153467726155,"House","0"
"97","15B","Jim Newberger","R","R+20",-20.234461904397,0.29765538095603,0.23482624751444,0.360484514397621,20.234461904397,"House","0"
"98","16A","Chris Swedzinski","R","R+9",-9.42035903594686,0.405796409640531,0.340051795968922,0.47154102331214,9.42035903594686,"House","0"
"99","16B","Paul Torkelson","R","R+14",-14.413326896402,0.35586673103598,0.292204995693368,0.419528466378591,14.413326896402,"House","0"
"100","17A","Tim Miller","R","R+9",-9.16205123170424,0.408379487682958,0.320424258906717,0.496334716459198,9.16205123170424,"House","0"
"101","17B","Dave Baker","R","R+7",-6.60865122368756,0.433913487763124,0.377229970807655,0.490597004718594,6.60865122368756,"House","0"
"102","18A","Dean Urdahl","R","R+15",-14.5246051625338,0.354753948374662,0.292431072439459,0.417076824309865,14.5246051625338,"House","0"
"103","18B","Glenn Gruenhagen","R","R+17",-16.6287356808003,0.333712643191997,0.273464721254355,0.393960565129638,16.6287356808003,"House","0"
"104","19A","Clark Johnson","DFL","D+1",1.14270866568488,0.511427086656849,0.477462521380421,0.545391651933277,1.14270866568488,"House","1"
"105","19B","John  Considine Jr.","DFL","D+7",6.55025915401288,0.565502591540129,0.543251635799046,0.587753547281211,6.55025915401288,"House","1"
"106","20A","Bob Vogel","R","R+13",-13.1913281327096,0.368086718672904,0.327450790264714,0.408722647081093,13.1913281327096,"House","0"
"107","20B","David Bly","DFL","D+4",3.67628594700126,0.536762859470013,0.506243016081232,0.567282702858793,3.67628594700126,"House","1"
"108","21A","Barb Haley","R","R+3",-2.87130196978567,0.471286980302143,0.438932068234582,0.503641892369705,2.87130196978567,"House","0"
"109","21B","Steve Drazkowski","R","R+12",-12.3740982324896,0.376259017675104,0.336286321757619,0.41623171359259,12.3740982324896,"House","0"
"110","22A","Joe Schomacker","R","R+15",-14.6026977784095,0.353973022215905,0.288333066110844,0.419612978320966,14.6026977784095,"House","0"
"111","22B","Rod Hamilton","R","R+11",-10.6603746207865,0.393396253792135,0.327033183525211,0.45975932405906,10.6603746207865,"House","0"
"112","23A","Bob Gunther","R","R+15",-15.1422449850485,0.348577550149515,0.287966760773451,0.409188339525579,15.1422449850485,"House","0"
"113","23B","Tony Cornish","R","R+8",-7.87687371880681,0.421231262811932,0.354781199351702,0.487681326272162,7.87687371880681,"House","0"
"114","24A","John Petersburg","R","R+9",-8.96403160046764,0.410359683995324,0.368132470665643,0.452586897325004,8.96403160046764,"House","0"
"115","24B","Brian Daniels","R","R+8",-8.03567239193053,0.419643276080695,0.36264196054991,0.476644591611479,8.03567239193053,"House","0"
